or1, or, Pass, QFSW, exit code 1
or2, or, Fail, QFSW, exit code 1 (expected 3)
ori1, ori, Pass, ChrisDeverall, exit code -1
ori2, ori, Pass, ChrisDeverall, exit code 0
ori3, ori, Fail, QFSW, zero-extension; exit code 1 (expected 0)
reg0, internal, Pass, QFSW, tests-reg0; exit code 0
sb10, sb, Pass, QFSW, data-top-boundary; exit code 0
sb11, sb, Fail, QFSW, data-above-boundary; exit code 0 (expected -11)
sb1, sb, Fail, QFSW, standard; exit code 0 (expected 13)
sb2, sb, Fail, QFSW, composite; exit code 0 (expected 69)
sb3, sb, Pass, QFSW, above; exit code -11
sb4, sb, Fail, QFSW, putc; exit code 0 (expected 'I' as the output; instead received '')
sb5, sb, Fail, QFSW, getc; exit code 0 (expected -11)
sb6, sb, Fail, QFSW, instr; exit code 0 (expected -11)
sb7, sb, Fail, QFSW, instr-nops; exit code 0 (expected -11)
sb8, sb, Fail, QFSW, addr-null; exit code 0 (expected -11)
sb9, sb, Fail, ChrisDeverall, putc-offset; exit code 0 (expected 'H' as the output; instead received '')
sh10, sh, Fail, ChrisDeverall, putc-offset; exit code 0 (expected 'H' as the output; instead received ' K')
sh11, sh, Pass, QFSW, data-top-boundary; exit code 0
sh12, sh, Fail, QFSW, data-above-boundary; exit code 0 (expected -11)
sh1, sh, Fail, QFSW, standard; exit code 0 (expected 13)
sh2, sh, Fail, QFSW, composite; exit code 0 (expected 69)
sh3, sh, Pass, QFSW, above; exit code -11
sh4, sh, Fail, QFSW, putc; exit code 0 (expected 'I' as the output; instead received '')
sh5, sh, Fail, QFSW, getc; exit code 0 (expected -11)
sh6, sh, Fail, QFSW, instr; exit code 0 (expected -11)
sh7, sh, Fail, QFSW, instr-nops; exit code 0 (expected -11)
sh8, sh, Fail, QFSW, addr-null; exit code 0 (expected -11)
sh9, sh, Fail, QFSW, misaligned; exit code 0 (expected -11)
sll1, sll, Pass, ChrisDeverall, standardpos; exit code 60
sll2, sll, Fail, ChrisDeverall, standardneg; exit code 0 (expected -8)
sllv1, sllv, Pass, ChrisDeverall, standardpos; exit code 56
sllv2, sllv, Fail, ChrisDeverall, standardneg; exit code 0 (expected -12)
sllv3, sllv, Fail, ChrisDeverall, largevar; exit code 0 (expected 6)
